"id";"produto";"nome_busca";"cluster_sugerido";"subcluster_sugerido";"confianca";"motivo";"confirmado"
"11753";"VT BRONQUIVITA PASTILHAS 15 UND MASTIGAVEIS";"BRONQUIVITA PASTILHAS 15 UND MASTIGAVEIS";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11773";"SR COLETOR UNIVERSAL";"COLETOR UNIVERSAL";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11774";"SR COMPRESSA DE GAZE 5 UNIDADES";"COMPRESSA DE GAZE 5 UNIDADES";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11775";"SR APOLO - BOLAS DE ALGODÃO 25G";"APOLO - BOLAS DE ALGODÃO 25G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11785";"TB TRIBAL BRASIL - CHA ORGANICO MENTA 15G";"TRIBAL BRASIL - CHA ORGANICO MENTA 15G";"Vitalidade";"Tônico";65;"classificação automática de baixa confiança";0
"11795";"PY AROMATIZADOR ULTRASSONICO FLOR 550 ML";"AROMATIZADOR ULTRASSONICO FLOR 550 ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11805";"AT SABOR DA TERRA CURCUMA VEGANO 200G";"SABOR DA TERRA CURCUMA VEGANO 200G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11808";"NF KOBBER - GRANOLA CACAU E BANANA 800G";"KOBBER - GRANOLA CACAU E BANANA 800G";"Endócrino/Metabólico";"Nutrição";60;"classificação automática de baixa confiança";0
"11814";"PY THERAPI MIC DE OLEOS ROSINHA DEDICAÇÃO NOS ESTU";"THERAPI MIC DE OLEOS ROSINHA DEDICAÇÃO NOS ESTU";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11815";"PY THERAPI MIC DE OLEOS TÁBATA EQUILIBRIO NOTURNO";"THERAPI MIC DE OLEOS TÁBATA EQUILIBRIO NOTURNO";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11816";"PY THERAPI MIC DE OLEOS ZÉ LELÉ TRANQUILIDADE E RE";"THERAPI MIC DE OLEOS ZÉ LELÉ TRANQUILIDADE E RE";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11817";"PY THERAPI MIC DE OLEOS CHICO BENTO CORAGEM E CONF";"THERAPI MIC DE OLEOS CHICO BENTO CORAGEM E CONF";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11818";"VF VITA PROFEM 60 CAPS";"VITA PROFEM 60 CAPS";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11821";"VF RESVERATROL PLUS 60 CAPS";"RESVERATROL PLUS 60 CAPS";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11828";"LA LEVE CROC - TABLETITO LOW CARB 90G";"LEVE CROC - TABLETITO LOW CARB 90G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11829";"LA LEVE CROC TABLETITOS LOW CARB ALHO E MANJERICÃO";"LEVE CROC TABLETITOS LOW CARB ALHO E MANJERICÃO";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11841";"PL PLURI - VELA AROMATICA AMOR CARAMELO E AMENDOA";"PLURI - VELA AROMATICA AMOR CARAMELO E AMENDOA";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11843";"PL PLURI - VELA AROMATICA AFLORA FLORES E SANDALO";"PLURI - VELA AROMATICA AFLORA FLORES E SANDALO";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11846";"PL PLURI - ESSENCIA BAMBOO 10 ML";"PLURI - ESSENCIA BAMBOO 10 ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11847";"PL PLURI - ESSENCIA VANILLA 10 ML";"PLURI - ESSENCIA VANILLA 10 ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11849";"PL PLURI - ESSENCIA MEU CANTINHO BABY 10 ML";"PLURI - ESSENCIA MEU CANTINHO BABY 10 ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11850";"PL PLURI - ESSENCIA PAUSE BREEZE 10 ML";"PLURI - ESSENCIA PAUSE BREEZE 10 ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11851";"PL PLURI - ESSENCIA FLOR DE CEREJEIRA 10 ML";"PLURI - ESSENCIA FLOR DE CEREJEIRA 10 ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11860";"AS TOTAL CARE - MASCARA RECONSTRUTORA 200G";"TOTAL CARE - MASCARA RECONSTRUTORA 200G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11868";"PY OLEO ESSENCIAL - CITRONELA - 10ML";"OLEO ESSENCIAL - CITRONELA - 10ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11875";"AT ZEROMILK CHOCOLATE ZERO 40% CACAU 70G";"ZEROMILK CHOCOLATE ZERO 40% CACAU 70G";"Endócrino/Metabólico";"Nutrição";60;"classificação automática de baixa confiança";0
"11877";"LA HARTS NATURAL MOVE COCO PROTEINA";"HARTS NATURAL MOVE COCO PROTEINA";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"11878";"LA MAIS MU - CHOCO WHEYFER CHOCOLATE BRANCO - 25G";"MAIS MU - CHOCO WHEYFER CHOCOLATE BRANCO - 25G";"Endócrino/Metabólico";"Nutrição";60;"classificação automática de baixa confiança";0
"11879";"LA MAIS MU - CHOCO WHEYFER CHOCOLATE - VEGETAL 25G";"MAIS MU - CHOCO WHEYFER CHOCOLATE - VEGETAL 25G";"Endócrino/Metabólico";"Nutrição";60;"classificação automática de baixa confiança";0
